Nombre,Tipo 1,Tipo 2,Ataque,Defensa,Velocidad,PS
Sandshrew,Tierra,,75,85,40,50
Lickitung,Normal,,55,75,30,90
Hypno,Psiquico,,73,70,67,85
Charmeleon,Fuego,,64,58,80,58
Doduo,Normal,Volador,85,45,75,35
Raichu,Eléctrico,,90,55,110,60
Horsea,Agua,,40,70,60,30
Omanyte,Roca,Agua,40,100,35,35
Tangela,Planta,,55,115,60,65
Meowth,Normal,,45,35,90,40
Persian,Normal,,70,60,115,65
Dratini,Dragón,,64,45,50,41
Machoke,Lucha,,100,70,45,80
Poliwhirl,Agua,,65,65,90,65
Dewgong,Agua,Hielo,70,80,70,90
Poliwrath,Agua,Lucha,95,95,70,90
Kabuto,Roca,Agua,80,90,55,30
Ponyta,Fuego,,85,55,90,50
Seadra,Agua,,65,95,85,55
Rhyhorn,Tierra,Roca,85,95,25,80
Bellsprout,Planta,Veneno,75,35,40,50
Rapidash,Fuego,,100,70,105,65
Seaking,Agua,,92,65,68,80
Zapdos,Eléctrico,Volador,90,85,100,90
Scyther,Bicho,Volador,110,80,105,70
Golbat,Veneno,Volador,80,70,90,75
Tauros,Normal,,100,95,110,75
Tentacool,Agua,Veneno,40,35,70,40
Growlithe,Fuego,,70,45,60,55
Kakuna,Bicho,Veneno,25,50,35,45
Jolteon,Eléctrico,,65,60,130,65
Jigglypuff,Normal,"",45,20,20,115
Hitmonlee,Lucha,,120,53,87,50
Pikachu,Eléctrico,,55,40,90,35
Krabby,Agua,,105,90,50,30
Primeape,Lucha,,105,60,95,65
Cloyster,Agua,Hielo,95,180,70,50
Nidoqueen,Veneno,Tierra,82,87,76,90
Drowzee,Psiquico,,48,45,42,60
Seel,Agua,,45,55,45,65
Starmie,Agua,Psiquico,75,85,115,60
Articuno,Hielo,Volador,85,100,85,90
Slowbro,Agua,Psiquico,75,110,30,95
Clefable,Normal,,70,73,60,95
Exeggcute,Planta,Psiquico,40,80,40,60
Weedle,Bicho,Veneno,35,30,50,40
Haunter,Fantasma,Veneno,50,45,95,45
Magneton,Eléctrico,"",60,95,70,50
Marowak,Tierra,,80,110,45,60
Butterfree,Bicho,Volador,45,50,70,60
Pinsir,Bicho,,125,100,85,65
Vulpix,Fuego,,41,40,65,38
Psyduck,Agua,,52,48,55,50
Charmander,Fuego,,52,43,65,39
Gastly,Fantasma,Veneno,35,30,80,30
Kadabra,Psiquico,,35,30,105,40
Staryu,Agua,,45,55,85,30
Farfetch'd,Normal,Volador,65,55,60,52
Weezing,Veneno,,90,120,60,65
Grimer,Veneno,,80,50,25,80
Rattata,Normal,,56,35,72,30
Raticate,Normal,,81,60,97,55
Dugtrio,Tierra,,80,50,120,35
Aerodactyl,Roca,Volador,105,65,130,80
Venomoth,Bicho,Veneno,65,60,90,70
Magikarp,Agua,,10,55,80,20
Shellder,Agua,,65,100,40,30
Beedrill,Bicho,Veneno,90,40,75,65
Venusaur,Planta,Veneno,82,83,80,80
Ninetales,Fuego,,76,75,100,73
Parasect,Bicho,Planta,95,80,30,60
Eevee,Normal,,55,50,55,55
Mr. Mime,Psiquico,"",45,65,90,40
Poliwag,Agua,,50,40,90,40
Gengar,Fantasma,Veneno,65,60,110,60
Vaporeon,Agua,,65,60,65,130
Geodude,Roca,Tierra,80,100,20,40
Mewtwo,Psiquico,,110,90,130,106
Venonat,Bicho,Veneno,55,50,45,60
Victreebel,Planta,Veneno,105,65,70,80
Spearow,Normal,Volador,60,30,70,40
Blastoise,Agua,,83,100,78,79
Nidoran♀,Veneno,,47,52,41,55
Ekans,Veneno,,60,44,55,35
Kabutops,Roca,Agua,115,105,80,60
Muk,Veneno,,105,75,50,105
Pidgeotto,Normal,Volador,60,55,71,63
Dragonite,Dragón,Volador,134,95,80,91
Mankey,Lucha,,80,35,70,40
Oddish,Planta,Veneno,50,55,30,45
Charizard,Fuego,Volador,84,78,100,78
Electabuzz,Eléctrico,,83,57,105,65
Voltorb,Eléctrico,,30,50,100,40
