Nombre,Tipo 1,Tipo 2,Ataque,Defensa,Velocidad,PS
Weedle,Bicho,Veneno,35,30,50,40
Ekans,Veneno,,60,44,55,35
Golem,Roca,Tierra,120,130,45,80
Lickitung,Normal,,55,75,30,90
Poliwhirl,Agua,,65,65,90,65
Hypno,Psiquico,,73,70,67,85
Ninetales,Fuego,,76,75,100,73
Ivysaur,Planta,Veneno,62,63,60,60
Exeggcute,Planta,Psiquico,40,80,40,60
Lapras,Agua,Hielo,85,80,60,130
Vaporeon,Agua,,65,60,65,130
Magikarp,Agua,,10,55,80,20
Kadabra,Psiquico,,35,30,105,40
Nidorina,Veneno,,62,67,56,70
Nidorino,Veneno,,72,57,65,61
Vulpix,Fuego,,41,40,65,38
Voltorb,Eléctrico,,30,50,100,40
Electrode,Eléctrico,,50,70,140,60
Poliwrath,Agua,Lucha,95,95,70,90
Arbok,Veneno,,85,69,80,60
Mankey,Lucha,,80,35,70,40
Tentacool,Agua,Veneno,40,35,70,40
Hitmonlee,Lucha,,120,53,87,50
Parasect,Bicho,Planta,95,80,30,60
Machoke,Lucha,,100,70,45,80
Rattata,Normal,,56,35,72,30
Zubat,Veneno,Volador,45,35,55,40
Jynx,Hielo,Psiquico,50,35,95,65
Cubone,Tierra,,50,95,35,50
Venonat,Bicho,Veneno,55,50,45,60
Raichu,Eléctrico,,90,55,110,60
Rapidash,Fuego,,100,70,105,65
Magmar,Fuego,,95,57,93,65
Bulbasaur,Planta,Veneno,49,49,45,45
Wigglytuff,Normal,"",70,45,45,140
Alakazam,Psiquico,,50,45,120,55
Kabutops,Roca,Agua,115,105,80,60
Sandslash,Tierra,,100,110,65,75
Gyarados,Agua,Volador,125,79,81,95
Kangaskhan,Normal,,95,80,90,105
Kakuna,Bicho,Veneno,25,50,35,45
Flareon,Fuego,,130,60,65,65
Ponyta,Fuego,,85,55,90,50
Squirtle,Agua,,48,65,43,44
Ditto,Normal,,48,48,48,48
Moltres,Fuego,Volador,100,90,90,90
Dratini,Dragón,,64,45,50,41
Persian,Normal,,70,60,115,65
Psyduck,Agua,,52,48,55,50
